Menu/MLP_logo_file	ru/RUS_MLP_logo.png
FONTS/DIMBO_REGULAR	Roboto-Black
FONTS/NOTO_SANS	Roboto-Medium
FONTS/ROBOTO_MEDIUM	Roboto-Regular
VanityItems/Body/CategoryName	<size=50>Тело</size>
VanityItems/Face/CategoryName	<size=50>Лицо</size>
VanityItems/Head/CategoryName	<size=50>Голова</size>
VanityItems/Neck/CategoryName	<size=50>Шея</size>
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_01_CS_ZP_01	Добро пожаловать в К.Р.И.Л.О. — самую известную летную школу Игогойского залива.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_02_CVS_SN_01	Этот пони просто в восторге.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_03_CVS_ZP_02	Это моя мама придумала.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_04_CVS_ZP_03	Не ожидай, что я буду от этого счастлива.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_05_CVS_SN_02	Так вот, оказывается, теперь я кадет.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_06_CVS_ZP_04	Ага, вижу, ты прошла первые испытания... Ты уже почти готова летать!
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_07_CVS_ZP_05	Поговори с Плюхом и Вжух насчет последних заданий.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_08_CVS_ZP_06	И потом посмотрим, сможешь ли ты обогнать меня в настоящей гонке...
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_09_CVS_SN_03	Я уже быстро летаю... Назад дороги нет!
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_10_CVS_ZP_07	Это мы еще посмотрим, кадет... Я буду ждать тебя возле взлетной полосы.
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_11_GP_SN_04	Я обязательно заполучу крылья!
BeachCove/MFL/ACCEPTED/BC_MFL_ACCEPTED_01_CVS_SN_01	А как же!
BeachCove/MFL/ACCEPTED/BC_MFL_ACCEPTED_02_CVS_ZP_02	Тогда по коням!
BeachCove/MFL/COMP/BC_MFL_COMP_01_CS_SN_01	Как весело!
BeachCove/MFL/COMP/BC_MFL_COMP_02_CS_ZP_01	Угу. В смысле, молодец! Ты заслужила эти крыльяю
BeachCove/MFL/COMP/BC_MFL_COMP_03_CS_ZP_02	Поздравляем от имени Королевской семьи-и-и-и-и!!!
BeachCove/MFL/COMP/BC_MFL_COMP_04_CS_SN_02	Зипп!!!!
BeachCove/MFL/COMP/BC_MFL_COMP_05_CS_Brighhouse_01	
BeachCove/MFL/COMP/BC_MFL_COMP_06_CS_PP_01	О нет!
BeachCove/MFL/COMP/BC_MFL_COMP_07_CS_IZ_01	О нет!
BeachCove/MFL/COMP/BC_MFL_COMP_08_CS_HC_01	О нет!
BeachCove/MFL/COMP/BC_MFL_COMP_09_CS_Sprout_01	О да...
